85,4506 75,6507 111,3452 166,1888 62,1845 94,8106 103,1879 71,2159 57,2626 142,1277 72,1783 
90,7546 76,8289 94,8984 171,285 55,7057 71,6727 80,9621 75,6981 54,2996 133,953 63,0782 
79,2794 71,991 96,0855 142,7675 65,9226 99,6415 100,3473 70,3973 58,8302 134,1363 72,2804 
68,2436 56,9476 79,8768 115,3725 60,2953 91,9181 85,5501 64,8925 67,9298 137,7914 62,6818 
79,4994 73,2038 90,5584 151,5648 64,3485 87,5129 67,0314 57,1694 58,5539 112,9838 59,9573 
83,0692 80,2314 92,992 105,2194 80,4704 123,9933 93,3475 79,9977 80,9757 131,7195 74,5223 
84,7009 75,6192 99,0882 146,8947 74,99 108,106 98,8867 73,8832 66,2062 150,4637 66,1127 
104,2671 96,3579 107,7774 170,4039 80,0427 85,342 92,994 81,7403 66,1139 145,3817 69,8034 
93,7655 82,6838 121,9275 158,2477 65,0515 114,847 81,1839 66,1378 71,2313 180,3992 60,5447 
67,7123 59,353 82,5355 149,2623 61,5514 97,8418 92,7457 67,9027 61,4728 127,8577 59,792 
17,8955 17,4661 21,383 35,9355 31,1206 35,7778 12,1522 13,7829 15,8662 75,4883 42,1595 
