21,94 25,22 15,11 8,75 39,44 11,41 16,2 23,92 38,28 11,21 10,12 
18,59 25,09 14,22 8,82 38,69 10,25 14,63 20,98 37,46 10,25 10,25 
24,95 24,74 15,31 8,82 39,92 11,28 15,93 23,31 39,71 9,36 10,46 
30,35 36,84 22,69 10,18 40,94 10,59 17,5 26,73 39,1 11,14 10,25 
18,32 19,14 12,44 8,95 38,21 9,5 16,06 23,79 35,48 10,32 10,94 
16,95 18,87 11,62 7,25 33,01 11,96 14,63 22,97 38,69 8,82 9,71 
23,17 24,13 15,58 8,54 38,07 11,83 15,93 24,54 40,6 9,36 10,25 
18,11 20,37 14,7 8,54 35,54 10,18 15,45 21,6 36,23 9,77 10,25 
15,86 17,5 11,76 8,61 32,13 9,64 14,15 23,03 37,39 9,77 10,66 
30,42 33,97 18,93 9,09 38,0 11,35 16,13 25,5 40,05 9,84 10,12 
17,77 20,16 14,22 8,95 31,58 10,25 17,91 25,56 36,09 9,91 11,83 
