115,5763 83,9539 145,1403 233,2813 290,9324 127,9281 147,903 167,0543 242,1714 129,5549 148,223 
116,6287 81,2316 144,7692 202,9922 227,1396 134,14 139,8224 112,9381 161,6496 125,8333 147,72 
117,874 89,2845 153,558 245,124 329,4726 173,3758 188,1717 148,2551 258,4923 136,4161 140,4575 
92,0023 53,5232 123,9247 191,5772 227,7446 192,9548 137,7383 216,8338 273,9283 112,6626 139,4467 
102,153 91,175 166,1813 178,0916 212,0912 100,0216 126,0681 88,5431 157,9037 113,6954 137,95 
167,4032 134,4384 239,6765 320,2736 410,5963 501,3257 190,6495 152,753 293,2208 161,3876 152,9789 
136,2891 93,6572 159,1974 252,088 346,4039 104,9075 156,4335 178,3705 288,6498 139,6423 143,8733 
124,0226 95,7047 140,2791 217,52 258,3596 105,2886 131,1416 156,2658 149,0415 131,007 146,0067 
122,4569 110,1992 183,2791 199,3571 294,9979 97,8298 154,0338 92,6053 172,0201 122,5804 144,6026 
104,8427 62,6962 144,9892 201,8346 350,1745 177,994 201,0169 284,5818 313,401 133,6528 143,8649 
73,3808 59,8237 105,2308 137,2137 246,3203 91,5867 86,084 72,2807 137,2102 97,9448 248,6127 
