55,2 63,46 44,46 33,67 76,31 26,94 47,32 64,1 72,49 38,12 77,34 
41,57 53,0 32,69 22,98 70,52 19,82 34,96 52,17 61,9 27,61 73,21 
69,33 73,86 59,07 47,28 81,85 33,87 60,29 75,55 81,82 46,49 83,3 
68,74 77,84 60,47 53,63 79,22 33,54 55,13 76,56 74,86 46,02 85,02 
41,48 46,79 30,17 22,51 61,22 20,96 36,01 58,02 58,57 29,13 71,67 
64,01 70,93 62,24 60,84 74,36 42,96 57,9 69,16 71,38 55,42 75,3 
63,76 66,86 55,5 42,25 72,11 32,85 57,14 68,32 75,46 42,97 79,23 
41,67 46,18 31,87 23,01 57,02 19,56 35,72 53,16 60,13 27,66 67,14 
40,31 45,35 30,39 26,8 57,35 18,46 36,79 57,39 60,77 24,44 71,87 
72,14 77,24 65,09 49,91 76,36 40,28 61,85 76,4 79,81 53,54 85,95 
29,33 33,96 22,35 20,65 45,19 20,27 26,95 42,52 49,48 21,19 67,25 
