94,1882 83,1396 113,4842 141,4146 65,1971 87,4552 104,578 76,8279 67,7493 122,996 74,2595 
104,3371 85,0395 114,5959 160,2817 59,2043 69,5062 95,7096 87,6276 72,0774 130,5335 69,8097 
82,0502 75,7198 93,3502 115,1038 66,4721 98,2673 91,463 73,7772 64,8645 112,8975 71,8066 
65,4948 54,3897 80,8061 85,928 54,6223 67,7927 76,0198 60,2128 60,6832 89,9432 61,411 
84,4509 77,7245 107,3036 140,6889 77,657 92,9918 84,2514 67,3639 74,9566 103,3595 62,4012 
98,5742 89,4757 101,7223 102,7987 85,0791 122,5025 105,6515 90,8293 88,1616 111,8129 82,0445 
84,447 77,5891 97,0499 122,0606 75,6865 95,2308 93,6531 78,8652 68,303 114,828 66,9514 
112,6172 105,8331 134,4895 156,2851 84,8951 80,4473 109,3083 89,2564 77,2925 137,0717 76,1307 
97,1454 85,9473 118,9335 142,3513 82,541 138,1786 105,9595 74,4037 82,2601 167,9902 61,3549 
67,8291 57,2206 76,9574 100,1114 60,9441 86,3634 77,9508 64,9194 59,5493 96,1111 55,781 
23,5761 23,0179 31,9464 31,4758 24,5453 29,1691 35,0375 20,3935 25,7319 44,9885 33,3745 
